#Distances beetween nodes
0 1 211.4 
0 2 133.3 
0 3 228 
1 4 90 
2 5 188.3 
3 6 254.1 
4 7 206.9 
5 8 112.9 
6 9 140.2 
7 10 62.6 
7 11 100.4 
8 11 128.9 
8 12 74.4 
9 13 261.1 
10 14 253.1 
10 19 96.3 
10 15 130 
12 16 86.2 
13 17 287.9 
14 20 100.8 
15 18 212.7 
15 17 173.3 
16 17 178.3 
16 19 103.4 
18 20 95 
